GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
500,1109UGA,107954,03/12/2001,2001,2,Strategic development,LRA: Lord's Resistance Army,,2,,,0,20,Uganda,Gulu,Omoro,Koro,Koro,2.71670,32.31670,1,"All Africa, 12/7/2001",LRA rebels surrender,0
500,1110UGA,107955,23/12/2001,2001,1,Violence against civilians,Civilians (Uganda),,7,Unidentified Armed Group (Uganda),,3,37,Uganda,Adjumani,East Moyo,Pakelle,Adjumani,3.36139,31.80972,2,"BBC Monitoring, 12/23/2001",Rebels attack government minister en route to Kampala,0
500,1111UGA,107956,05/01/2002,2002,1,Violence against civilians,Unidentified Armed Group (Uganda),,3,Civilians (Uganda),,7,37,Uganda,Masindi,Kibanda,Kiryandongo,Kibanda,2.00000,31.91670,2,All Africa 8/1/2,A cattle keeper was killed over a long-standing feud in which cattle keepers were being accused of grazing their animals in cultivation land,1
500,1112UGA,107957,05/01/2002,2002,1,Violence against civilians,Unidentified Armed Group (Uganda),,3,Civilians (Uganda),,7,37,Uganda,Masindi,Kibanda,Kiryandongo,Kibanda,2.00000,31.91670,2,All Africa 8/1/2,A cattle keeper was killed over a long-standing feud in which cattle keepers were being accused of grazing their animals in cultivation land - the murder lead to the revenge killings of 4 innocent civilians,4
500,1114UGA,107958,12/01/2002,2002,1,Riots/Protests,Protesters (Uganda),,6,,,0,60,Uganda,Kampala,Kampala,Central Division,Kampala,0.31560,32.56560,1,BBC Monitoring Africa - Political 12/1/02,1 person was shot dead as police tried to disperse a rally for the Uganda Peoples Congress party,1
500,1113UGA,107959,12/01/2002,2002,1,Riots/Protests,Protesters (Uganda),,6,Police Forces of Uganda (1986-),,1,16,Uganda,Kampala,Kampala,Central Division,Kampala,0.31560,32.56560,1,BBC Monitoring Africa - Political 12/1/02,1 person was shot dead as police tried to disperse a rally for the Uganda Peoples Congress party,1
500,1117UGA,107960,19/01/2002,2002,1,Battle-No change of territory,Banyarwanda Ethnic Militia (Uganda),,4,Banyoro Ethnic Militia (Uganda),,4,44,Uganda,Hoima,Bugahya,Hoima Tc,Hoima,1.43560,31.34360,3,BBC Monitoring Africa - Political 21/1/02,Clash between Banyarwanda herdsmen and the Banyoro - over 50 people were injured,0
500,1115UGA,107961,19/01/2002,2002,1,Battle-No change of territory,Banyarwanda Ethnic Militia (Uganda),,4,Police Forces of Uganda (1986-),,1,14,Uganda,Hoima,Bugahya,Hoima Tc,Hoima,1.43560,31.34360,3,BBC Monitoring Africa - Political 21/1/02,Clash between Banyarwanda herdsmen and the Banyoro led to police intervention - over 50 people were injured,0
500,1116UGA,107962,19/01/2002,2002,1,Battle-No change of territory,Banyole Ethnic Militia (Uganda),,4,Police Forces of Uganda (1986-),,1,14,Uganda,Hoima,Bugahya,Hoima Tc,Hoima,1.43560,31.34360,3,BBC Monitoring Africa - Political 21/1/02,Clash between Banyarwanda herdsmen and the Banyoro led to police intervention - over 50 people were injured,0
500,1118UGA,107963,24/01/2002,2002,1,Violence against civilians,Karamajong Ethnic Militia (Uganda),,4,Civilians (Uganda),,7,47,Uganda,Katakwi,Usuk,Katakwi,Katakwi,1.89111,33.96611,3,BBC Monitoring Africa - Political 25/1/2,Karamojong warriors attacked a vehicle killing 3 civilians,3
