GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
450,372LBR,42959,30/12/2001,2001,1,Battle-Non-state actor overtakes territory,LURD: Liberians United for Reconciliation and Democracy,,2,Military Forces of Liberia (1997-2003),,1,12,Liberia,Lofa,Voinjama,Upper Worker,Voinjama,8.42258,-9.75244,1,Reuters,,0
450,373LBR,42960,31/12/2001,2001,1,Battle-Non-state actor overtakes territory,LURD: Liberians United for Reconciliation and Democracy,,2,Military Forces of Liberia (1997-2003),,1,12,Liberia,Lofa,Voinjama,Upper Worker,Voinjama,8.42258,-9.75244,1,Reuters,,0
450,374LBR,42961,01/01/2002,2002,1,Battle-Non-state actor overtakes territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Bomi,Klay,Senjeh,Tubmanburg,6.87110,-10.82800,1,See Original Data,See Original Data,0
450,375LBR,42962,01/01/2002,2002,1,Battle-Non-state actor overtakes territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Nimba,Sanniquelleh-Mahn,Yarmein,Sawmill,7.55630,-8.56270,1,See Original Data,See Original Data,0
450,376LBR,42963,26/01/2002,2002,1,Battle-No change of territory,LURD: Liberians United for Reconciliation and Democracy,,2,Military Forces of Liberia (1997-2003),,1,12,Liberia,Nimba,Sanniquelleh-Mahn,Yarmein,Sawmill,7.56000,-8.56000,1,Reuters,,0
450,377LBR,42964,30/01/2002,2002,1,Battle-Government regains territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Nimba,Sanniquelleh-Mahn,Yarmein,Sawmill,7.55630,-8.56270,1,See Original Data,See Original Data,0
450,379LBR,42965,01/02/2002,2002,1,Battle-Non-state actor overtakes territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Bomi,Klay,Gbojey,Suehn,6.61720,-10.70660,1,See Original Data,See Original Data,0
450,380LBR,42966,01/02/2002,2002,1,Battle-Non-state actor overtakes territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Bomi,Klay,Kpo,Klay,6.69330,-10.87410,1,See Original Data,See Original Data,0
450,381LBR,42967,01/02/2002,2002,1,Battle-Non-state actor overtakes territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Bomi,Klay,Senjeh,Tubmanburg,6.87110,-10.82800,1,See Original Data,See Original Data,0
450,378LBR,42968,01/02/2002,2002,1,Headquarters or base established,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Gbapolu,Bopolu,Bondi-Mandingo,Bopolu,7.06660,-10.48750,1,See Original Data,See Original Data,0
450,382LBR,42969,05/02/2002,2002,1,Battle-No change of territory,LURD: Liberians United for Reconciliation and Democracy,,2,Military Forces of Liberia (1997-2003),,1,12,Liberia,Gbapolu,Belleh,Lobaizue,Belle Baloma,7.57080,-9.97390,1,Radio France,,0
450,383LBR,42970,08/02/2002,2002,1,Violence against civilians,LURD: Liberians United for Reconciliation and Democracy,,2,Civilians (Liberia),,7,27,Liberia,Bomi,Klay,Kpo,Klay,6.69000,-10.87000,1,Associated Press,,0
450,384LBR,42971,12/02/2002,2002,1,Battle-No change of territory,LURD: Liberians United for Reconciliation and Democracy,,2,Military Forces of Liberia (1997-2003),,1,12,Liberia,Lofa,Voinjama,Upper Worker,Voinjama,8.42258,-9.75244,1,Associated Press,,0
450,385LBR,42972,13/02/2002,2002,1,Battle-No change of territory,LURD: Liberians United for Reconciliation and Democracy,,2,Military Forces of Liberia (1997-2003),,1,12,Liberia,Bomi,Klay,Kpo,Klay,6.69330,-10.87410,1,UN News Service,thousands displaced,0
450,387LBR,42973,13/02/2002,2002,1,Battle-No change of territory,LURD: Liberians United for Reconciliation and Democracy,,2,Military Forces of Liberia (1997-2003),,1,12,Liberia,Bomi,Klay,Senjeh,Tubmanburg,6.87110,-10.82800,1,Reuters,,0
450,388LBR,42974,13/02/2002,2002,1,Battle-No change of territory,LURD: Liberians United for Reconciliation and Democracy,,2,Military Forces of Liberia (1997-2003),,1,12,Liberia,Lofa,Voinjama,Upper Worker,Voinjama,8.42258,-9.75244,1,Associated Press,,0
450,386LBR,42975,13/02/2002,2002,1,Riots/Protests,Protesters (Liberia),,6,,,0,60,Liberia,Montserrado,Greater Monrovia,Monrovia,Monrovia,6.31000,-10.80000,1,All Africa,Reporters SansFrontier protested the detainment of 4 of their journalists,0
450,389LBR,42976,14/02/2002,2002,1,Battle-No change of territory,LURD: Liberians United for Reconciliation and Democracy,,2,Military Forces of Liberia (1997-2003),,1,12,Liberia,Bomi,Klay,Kpo,Klay,6.69330,-10.87410,1,UN News Service,thousands displaced,0
450,390LBR,42977,14/02/2002,2002,1,Battle-No change of territory,LURD: Liberians United for Reconciliation and Democracy,,2,Military Forces of Liberia (1997-2003),,1,12,Liberia,Bomi,Klay,Senjeh,Tubmanburg,6.87110,-10.82800,1,Reuters,,0
450,391LBR,42978,15/02/2002,2002,1,Battle-No change of territory,LURD: Liberians United for Reconciliation and Democracy,,2,Military Forces of Liberia (1997-2003),,1,12,Liberia,Bomi,Klay,Kpo,Klay,6.69330,-10.87410,1,UN News Service,thousands displaced,0
450,392LBR,42979,15/02/2002,2002,1,Battle-No change of territory,LURD: Liberians United for Reconciliation and Democracy,,2,Military Forces of Liberia (1997-2003),,1,12,Liberia,Bomi,Klay,Senjeh,Tubmanburg,6.87110,-10.82800,1,Reuters,,0
450,393LBR,42980,16/02/2002,2002,1,Battle-No change of territory,LURD: Liberians United for Reconciliation and Democracy,,2,Military Forces of Liberia (1997-2003),,1,12,Liberia,Bomi,Klay,Kpo,Klay,6.69330,-10.87410,1,UN News Service,thousands displaced,0
450,394LBR,42981,19/02/2002,2002,1,Battle-No change of territory,LURD: Liberians United for Reconciliation and Democracy,,2,Military Forces of Liberia (1997-2003),,1,12,Liberia,GrandBassa,District # 3,Hoegbahn,Bong,6.62000,-9.20000,1,Associated Press,"20,000 people displaced from fighting",0
450,395LBR,42982,20/02/2002,2002,1,Battle-No change of territory,LURD: Liberians United for Reconciliation and Democracy,,2,Military Forces of Liberia (1997-2003),,1,12,Liberia,GrandBassa,District # 3,Hoegbahn,Bong,6.62000,-9.20000,1,Associated Press,"20,000 people displaced from fighting",0
450,396LBR,42983,21/02/2002,2002,1,Battle-No change of territory,LURD: Liberians United for Reconciliation and Democracy,,2,Military Forces of Liberia (1997-2003),,1,12,Liberia,GrandBassa,District # 3,Hoegbahn,Bong,6.62000,-9.20000,1,UN News Service,"20,000 people displaced from fighting",0
450,397LBR,42984,23/03/2002,2002,1,Violence against civilians,LURD: Liberians United for Reconciliation and Democracy,,2,Civilians (Liberia),,7,27,Liberia,Margibi,Firestone,Firestone,Harbel,6.28000,-10.35000,1,Reuters,rebels attacked logging trucks and killed 15 people,15
450,398LBR,42985,28/03/2002,2002,1,Battle-No change of territory,LURD: Liberians United for Reconciliation and Democracy,,2,Military Forces of Liberia (1997-2003),,1,12,Liberia,Gbapolu,Bopolu,Bondi-Mandingo,Bopolu,7.06660,-10.48750,1,Associated Press,,0
450,399LBR,42986,29/03/2002,2002,1,Battle-No change of territory,LURD: Liberians United for Reconciliation and Democracy,,2,Military Forces of Liberia (1997-2003),,1,12,Liberia,Gbapolu,Bopolu,Bondi-Mandingo,Bopolu,7.06660,-10.48750,1,Associated Press,,0
